,path,mood_label,mfcc
0,drive/MyDrive/genres_original/metal/metal.00009.wav,metal,"[[-58.96375   -31.190329  -32.98419   ...  37.876614   33.13402
   -0.5722651]
 [ 98.97322    98.47033    97.77383   ... 105.50765   107.11125
  108.65849  ]
 [ 13.478024    1.0872725  -6.4095488 ... -11.827232   -8.171826
  -12.694584 ]
 ...
 [ -5.820591  -11.735456  -12.591095  ... -22.120472  -20.423061
  -19.398396 ]
 [ 12.339626   15.070344   15.531587  ...  10.750122    9.538062
    8.912526 ]
 [ -6.0378256 -11.976546  -14.464343  ... -15.095288  -13.726212
  -13.248011 ]]"
1,drive/MyDrive/genres_original/metal/metal.00007.wav,metal,"[[-142.57224   -110.645424  -110.086586  ... -106.61314    -95.85511
  -116.04937  ]
 [  53.889244    52.941353    46.219433  ...   76.716354    65.77286
    57.546654 ]
 [ -15.630959   -21.928936   -26.441025  ...  -25.497389   -23.276821
   -23.099586 ]
 ...
 [  -4.036957    -8.230785   -12.052423  ...  -14.874581    -7.65343
    -5.9901934]
 [  12.390661    17.840136    13.9904175 ...    9.396423     9.651638
     9.264626 ]
 [  -5.1413107   -8.659184   -14.35557   ...  -18.482721    -9.9386635
    -7.6205263]]"
2,drive/MyDrive/genres_original/metal/metal.00002.wav,metal,"[[-92.42695   -68.25919   -69.20889   ... -12.619635  -34.120228
  -83.917244 ]
 [124.40709   130.58174   132.37723   ... 105.12764    90.881226
   80.252785 ]
 [-56.832726  -58.372322  -58.401253  ... -27.296583  -14.078895
   -3.3103096]
 ...
 [  1.2418959  -5.4381657  -7.626772  ... -16.195541  -11.845548
   -9.461345 ]
 [ -2.1929746   3.337555    6.04626   ...  12.955499    5.786272
    5.603881 ]
 [-10.092699  -10.876976   -9.649642  ... -15.362748  -15.030111
   -8.270996 ]]"
3,drive/MyDrive/genres_original/metal/metal.00004.wav,metal,"[[-129.27205    -111.480576   -106.21667    ... -109.492294
  -103.51153    -143.61108   ]
 [  40.87509      29.884563     28.477566   ...   58.829838
    53.58906      46.072906  ]
 [  -0.5136541     2.172138     -0.45644057 ...  -15.209623
   -17.526445    -10.377872  ]
 ...
 [   6.0685987     7.4709516     5.1377106  ...    3.2616239
     0.8014492     3.0536778 ]
 [  16.15323      19.258026     11.6647005  ...   12.5109005
    14.118621     12.342956  ]
 [   7.9379263     4.03672      -1.8349477  ...   -6.176381
   -11.509636    -11.877929  ]]"
4,drive/MyDrive/genres_original/metal/metal.00001.wav,metal,"[[ -67.56934     -26.87084     -29.88016    ...  -88.55831
  -104.76436    -145.33936   ]
 [  66.00319      59.58132      53.53042    ...   62.11618
    58.771202     59.34236   ]
 [ -10.43298      -8.799593     -7.4286737  ...   -7.2896357
    -5.292596     -3.7731607 ]
 ...
 [  -1.1367809     0.15785551    3.724689   ...   -9.141463
    -4.8940625    -3.172852  ]
 [   3.7440562     4.1362395     5.304302   ...   13.720015
    15.557362     14.201229  ]
 [  -9.484389     -5.344842      0.5803716  ...  -12.6151085
   -12.222284     -8.687935  ]]"
5,drive/MyDrive/genres_original/metal/metal.00006.wav,metal,"[[-172.0735     -141.95264    -157.06154    ... -153.46004
  -131.9023     -133.0125    ]
 [  60.891975     52.585575     47.25188    ...   66.296646
    62.98665      72.51756   ]
 [ -10.373594     -6.332823      2.578406   ...  -36.290947
   -32.46093     -29.246254  ]
 ...
 [  -0.96198213   -3.368455     -4.536327   ...   -9.227314
    -1.3973966     6.9903965 ]
 [  -5.3559656    -5.2089033    -4.654166   ...   -4.3322105
    -6.9969063    -7.1230364 ]
 [ -10.850509     -9.501646     -6.3361273  ...   -9.11833
    -7.780368     -7.501231  ]]"
6,drive/MyDrive/genres_original/metal/metal.00008.wav,metal,"[[-182.64122    -119.100624   -117.744545   ... -136.65533
  -134.55458    -164.5509    ]
 [  93.41252      85.74441      72.166794   ...   38.44383
    24.744438     22.145252  ]
 [ -21.636026    -14.010761      1.8850102  ...   13.277337
    20.05648      27.906424  ]
 ...
 [  -9.340861    -10.5429535     2.8108907  ...   -0.98688793
    -3.0245702    -5.508357  ]
 [  -7.609267      1.3404608     3.2211063  ...    9.584415
    12.922098     11.246492  ]
 [   3.2082872    -3.0221314     1.9374466  ...   -7.5037627
    -1.5574183     2.0177948 ]]"
7,drive/MyDrive/genres_original/metal/metal.00003.wav,metal,"[[-1.2891066e+02 -5.9786480e+01 -3.1266293e+01 ... -6.2704376e+01
  -6.1603348e+01 -8.7055107e+01]
 [ 8.2177353e+01  7.0803078e+01  6.0697708e+01 ...  5.5198582e+01
   5.1878593e+01  4.8120678e+01]
 [-2.9704441e+01 -3.2346428e+01 -3.2240612e+01 ... -4.9444172e+01
  -3.8323895e+01 -3.0037491e+01]
 ...
 [-6.6859636e+00 -1.4542975e+01 -1.6335535e+01 ... -2.1369934e+00
   4.1440129e-03  2.3308053e+00]
 [ 2.2617605e+01  1.5243870e+01  1.4414823e+01 ...  2.1208611e+01
   1.9252502e+01  1.8582335e+01]
 [-6.7039671e+00 -1.1953592e+01 -1.4365270e+01 ... -9.8639317e+00
  -4.2669435e+00  7.6116741e-01]]"
8,drive/MyDrive/genres_original/metal/metal.00000.wav,metal,"[[-46.695152   -28.096203   -41.96436    ... -64.22193    -41.51638
  -64.96803   ]
 [ 38.52907     43.673965    34.60162    ...  55.998466    55.442703
   53.312767  ]
 [ -1.6116723   -1.7173976   -0.13374962 ... -19.727282   -13.32159
  -18.414097  ]
 ...
 [ -0.86168563  -4.5261984  -11.380287   ...  -5.876028     4.412571
   13.9886265 ]
 [  6.5283594    2.841899    -7.3838577  ...  19.463623    18.283764
   19.671072  ]
 [  3.8176517    0.2368094   -3.6788528  ...  -7.0368304   -3.8916986
   -1.1279871 ]]"
9,drive/MyDrive/genres_original/metal/metal.00005.wav,metal,"[[ -98.35346     -82.154396   -101.78596    ...  -36.64424
   -17.656185    -51.007908  ]
 [ 105.972946    109.30955     122.62534    ...   93.94392
    91.61365      83.31606   ]
 [   0.2942842   -12.018881    -27.709778   ...  -10.214174
    -5.2669673     0.43548882]
 ...
 [   7.8178306     8.093666      1.9688166  ...  -10.239658
     1.144126      9.325066  ]
 [   4.0737762     7.7173386     6.8614798  ...   19.460245
    15.234219     12.126217  ]
 [   1.9596434    -4.778322    -14.245798   ...  -11.146488
    -6.8922176    -8.08997   ]]"
